GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100005302","1970","District Of Columbia","11","District Of Columbia","001","0005","302","Tract    5 Block 302","1",463,865,14,11,17,24
"G11000100005304","1970","District Of Columbia","11","District Of Columbia","001","0005","304","Tract    5 Block 304","1",83,98,0,1,0,0
"G11000100005309","1970","District Of Columbia","11","District Of Columbia","001","0005","309","Tract    5 Block 309","1",10,18,0,0,0,0
"G11000100005312","1970","District Of Columbia","11","District Of Columbia","001","0005","312","Tract    5 Block 312","1",76,84,0,0,0,0
"G11000100005313","1970","District Of Columbia","11","District Of Columbia","001","0005","313","Tract    5 Block 313","1",91,135,3,0,2,2
"G11000100005314","1970","District Of Columbia","11","District Of Columbia","001","0005","314","Tract    5 Block 314","1",150,201,2,3,1,4
"G11000100005315","1970","District Of Columbia","11","District Of Columbia","001","0005","315","Tract    5 Block 315","1",109,230,1,2,6,5
"G11000100005316","1970","District Of Columbia","11","District Of Columbia","001","0005","316","Tract    5 Block 316","1",218,340,23,28,6,8
"G11000100005401","1970","District Of Columbia","11","District Of Columbia","001","0005","401","Tract    5 Block 401","1",277,537,23,26,19,37
"G11000100005402","1970","District Of Columbia","11","District Of Columbia","001","0005","402","Tract    5 Block 402","1",87,180,3,6,0,1
"G11000100005403","1970","District Of Columbia","11","District Of Columbia","001","0005","403","Tract    5 Block 403","1",74,137,5,6,0,1
"G11000100005404","1970","District Of Columbia","11","District Of Columbia","001","0005","404","Tract    5 Block 404","1",38,50,0,0,0,0
"G11000100005405","1970","District Of Columbia","11","District Of Columbia","001","0005","405","Tract    5 Block 405","1",94,99,0,1,0,0
"G11000100005406","1970","District Of Columbia","11","District Of Columbia","001","0005","406","Tract    5 Block 406","1",19,22,0,2,0,2
"G11000100005501","1970","District Of Columbia","11","District Of Columbia","001","0005","501","Tract    5 Block 501","1",40,53,0,0,0,0
"G11000100005502","1970","District Of Columbia","11","District Of Columbia","001","0005","502","Tract    5 Block 502","1",66,63,0,0,1,0
"G11000100005503","1970","District Of Columbia","11","District Of Columbia","001","0005","503","Tract    5 Block 503","1",7,13,0,0,0,0
"G11000100005504","1970","District Of Columbia","11","District Of Columbia","001","0005","504","Tract    5 Block 504","1",32,39,0,1,0,0
"G11000100005505","1970","District Of Columbia","11","District Of Columbia","001","0005","505","Tract    5 Block 505","1",32,29,0,0,0,0
"G11000100005506","1970","District Of Columbia","11","District Of Columbia","001","0005","506","Tract    5 Block 506","1",20,25,0,0,0,0
"G11000100006101","1970","District Of Columbia","11","District Of Columbia","001","0006","101","Tract    6 Block 101","1",51,131,5,7,1,0
"G11000100006102","1970","District Of Columbia","11","District Of Columbia","001","0006","102","Tract    6 Block 102","1",28,24,0,0,0,0
"G11000100006104","1970","District Of Columbia","11","District Of Columbia","001","0006","104","Tract    6 Block 104","1",47,50,0,1,0,1
"G11000100006105","1970","District Of Columbia","11","District Of Columbia","001","0006","105","Tract    6 Block 105","1",29,35,0,1,1,2
"G11000100006106","1970","District Of Columbia","11","District Of Columbia","001","0006","106","Tract    6 Block 106","1",309,451,31,22,12,16
"G11000100006107","1970","District Of Columbia","11","District Of Columbia","001","0006","107","Tract    6 Block 107","1",65,111,2,7,4,3
"G11000100006201","1970","District Of Columbia","11","District Of Columbia","001","0006","201","Tract    6 Block 201","1",113,179,6,6,16,10
"G11000100006203","1970","District Of Columbia","11","District Of Columbia","001","0006","203","Tract    6 Block 203","1",55,66,0,4,1,1
"G11000100006204","1970","District Of Columbia","11","District Of Columbia","001","0006","204","Tract    6 Block 204","1",39,41,0,2,1,0
"G11000100006205","1970","District Of Columbia","11","District Of Columbia","001","0006","205","Tract    6 Block 205","1",20,29,0,0,0,1
"G11000100006206","1970","District Of Columbia","11","District Of Columbia","001","0006","206","Tract    6 Block 206","1",154,162,0,4,1,1
"G11000100006207","1970","District Of Columbia","11","District Of Columbia","001","0006","207","Tract    6 Block 207","1",80,77,5,3,0,0
"G11000100006208","1970","District Of Columbia","11","District Of Columbia","001","0006","208","Tract    6 Block 208","1",3,3,0,0,0,0
"G11000100006209","1970","District Of Columbia","11","District Of Columbia","001","0006","209","Tract    6 Block 209","1",32,37,0,0,0,0
"G11000100006301","1970","District Of Columbia","11","District Of Columbia","001","0006","301","Tract    6 Block 301","1",29,42,6,8,0,0
"G11000100006302","1970","District Of Columbia","11","District Of Columbia","001","0006","302","Tract    6 Block 302","1",26,23,0,0,0,0
"G11000100006303","1970","District Of Columbia","11","District Of Columbia","001","0006","303","Tract    6 Block 303","1",87,128,2,3,4,0
"G11000100006304","1970","District Of Columbia","11","District Of Columbia","001","0006","304","Tract    6 Block 304","1",-1,,,,,
"G11000100006305","1970","District Of Columbia","11","District Of Columbia","001","0006","305","Tract    6 Block 305","1",-1,,,,,
"G11000100006306","1970","District Of Columbia","11","District Of Columbia","001","0006","306","Tract    6 Block 306","1",-1,,,,,
"G11000100006307","1970","District Of Columbia","11","District Of Columbia","001","0006","307","Tract    6 Block 307","1",-1,,,,,
"G11000100006401","1970","District Of Columbia","11","District Of Columbia","001","0006","401","Tract    6 Block 401","1",-1,,,,,
"G11000100006402","1970","District Of Columbia","11","District Of Columbia","001","0006","402","Tract    6 Block 402","1",-1,,,,,
"G11000100006403","1970","District Of Columbia","11","District Of Columbia","001","0006","403","Tract    6 Block 403","1",-1,,,,,
"G11000100006404","1970","District Of Columbia","11","District Of Columbia","001","0006","404","Tract    6 Block 404","1",-1,,,,,
"G11000100006405","1970","District Of Columbia","11","District Of Columbia","001","0006","405","Tract    6 Block 405","1",-1,,,,,
"G11000100006406","1970","District Of Columbia","11","District Of Columbia","001","0006","406","Tract    6 Block 406","1",-1,,,,,
"G11000100006408","1970","District Of Columbia","11","District Of Columbia","001","0006","408","Tract    6 Block 408","1",-1,,,,,
"G11000100006409","1970","District Of Columbia","11","District Of Columbia","001","0006","409","Tract    6 Block 409","1",-1,,,,,
"G11000100006410","1970","District Of Columbia","11","District Of Columbia","001","0006","410","Tract    6 Block 410","1",4,5,0,0,0,0
"G11000100006411","1970","District Of Columbia","11","District Of Columbia","001","0006","411","Tract    6 Block 411","1",46,56,2,4,0,3
