name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
The Residences At Mazza,321,"5300 Wisconsin Ave NW
 Washington, DC 20015","5300 Wisconsin Ave NW, Washington, DC 20015",5300 Wisconsin Ave NW,Washington,District of Columbia,20015,https://dc.urbanturf.com/pipeline/1241/The_Residences_At_Mazza,38.960176,-77.085538,1,1,1,1,,
2 Patterson Street,600,"2 Patterson Street NE
 Washington, DC 20002","2 Patterson Street NE, Washington, DC 20002",2 Patterson Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/932/2_Patterson_Street,38.906531,-77.008681,1,1,1,1,,
2420 and 2422 Martin Luther King Jr. Ave SE,44,"2420 Martin Luther King Jr Avenue SE
 Washington, DC 20020","2420 Martin Luther King Jr Avenue SE, Washington, DC 20020",2420 Martin Luther King Jr Avenue SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1196/2420_and_2422_Martin_Luther_King_Jr_Ave_SE,38.86218495,-76.99280135,1,1,1,1,,
Salvation Army Headquarters Redevelopment,32,"2626 Pennsylvania Avenue NW
 Washington, DC 20037","2626 Pennsylvania Avenue NW, Washington, DC 20037",2626 Pennsylvania Avenue NW,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/1160/Salvation_Army_Headquarters_Redevelopment,38.9040243,-77.0553998,1,1,1,1,,
1625 Massachusetts Avenue NW,157,"1625 Massachusetts Avenue NW
 Washington, DC 20036","1625 Massachusetts Avenue NW, Washington, DC 20036",1625 Massachusetts Avenue NW,Washington,District of Columbia,20036,https://dc.urbanturf.com/pipeline/1172/1625_Massachusetts_Avenue_NW,38.9081322,-77.03802107,1,1,1,1,,
1133 19th Street NW,181,"1133 19th Street NW
 Washington, DC 20036","1133 19th Street NW, Washington, DC 20036",1133 19th Street NW,Washington,District of Columbia,20036,https://dc.urbanturf.com/pipeline/1176/1133_19th_Street_NW,38.90478375,-77.04293773,1,1,1,1,,
Coda on Half,161,"41 L Street SE
 Washington, DC 20003","41 L Street SE, Washington, DC 20003",41 L Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/359/Coda_on_Half,38.87744458,-77.00830982,1,1,1,1,,
The Frederick and The Douglass,750,"633 Howard Road SE
 Washington, DC 20020","633 Howard Road SE, Washington, DC 20020",633 Howard Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1211/The_Frederick_and_The_Douglass,38.86475626,-77.00037309,1,1,1,1,,
1725 Montello Ave NE,17,"1725 Montello Avenue NE
 Washington, DC 20002","1725 Montello Avenue NE, Washington, DC 20002",1725 Montello Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1193/1725_Montello_Ave_NE,38.9096872,-76.9850351,1,1,1,1,,
District Co-Living,59,"1126 9th Street NW
 Washington, DC 20001","1126 9th Street NW, Washington, DC 20001",1126 9th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/451/District_CoLiving,38.905219,-77.02429142,1,1,1,1,,
509-517 H Street NW,85,"509 H Street NW
 Washington, DC 20001","509 H Street NW, Washington, DC 20001",509 H Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1099/509517_H_Street_NW,38.89989235,-77.01914312,1,1,1,1,,
Ontario Place,52,"2400 Ontario Road NW
 Washington, DC 20009","2400 Ontario Road NW, Washington, DC 20009",2400 Ontario Road NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/1101/Ontario_Place,38.9217438,-77.04024624,1,1,1,1,,
Reservoir District,280,"2707 First Street NW
 Washington, DC 20001","2707 First Street NW, Washington, DC 20001",2707 First Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1188/Reservoir_District,38.9245366,-77.0118228,1,1,1,1,,
1401 Florida Avenue NE,28,"1401 Florida Avenue NE
 Washington, DC 20002","1401 Florida Avenue NE, Washington, DC 20002",1401 Florida Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/382/1401_Florida_Avenue_NE,38.9004237,-76.985283,1,1,1,1,,
Georgetown West Heating Plant,70,"1051-1055 29th Street NW
 Washington, DC 20007","1051-1055 29th Street NW, Washington, DC 20007",1051-1055 29th Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/349/Georgetown_West_Heating_Plant,38.90360479,-77.05740225,0.7,1,1,0.7,1,1
The Calloway,39,"2005 11th Street NW
 Washington, DC 20001","2005 11th Street NW, Washington, DC 20001",2005 11th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1149/The_Calloway,38.91715735,-77.02692965,1,1,1,1,,
District Towns at St. Elizabeths East,88,"1127 Sycamore Drive SE
 Washington, DC 20032","1127 Sycamore Drive SE, Washington, DC 20032",1127 Sycamore Drive SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/1000/District_Towns_at_St_Elizabeths_East,38.8445858,-76.9910805,1,1,1,1,,
The Lamont,9,"3225 Georgia Avenue NW
 Washington, DC 20010","3225 Georgia Avenue NW, Washington, DC 20010",3225 Georgia Avenue NW,Washington,District of Columbia,20010,https://dc.urbanturf.com/pipeline/622/The_Lamont,38.9310542,-77.023294,1,1,1,1,,
The Seven,32,"7700 Georgia Avenue NW
 Washington, DC 20012","7700 Georgia Avenue NW, Washington, DC 20012",7700 Georgia Avenue NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/991/The_Seven,38.9827987,-77.0267432,1,1,1,1,,
The Mayfair Residences,22,"1335 11th St NW
 Washington, DC 20001","1335 11th St NW, Washington, DC 20001",1335 11th St NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1252/The_Mayfair_Residences,38.9083656,-77.02677177,1,1,1,1,,
